time,latitude,longitude
1606317764,-3.1583,156.3807
1606317764,-3.1583,156.3807
1606317764,-3.1583,156.3807
1606317765,-3.1837,156.3988
1606317765,-3.1837,156.3988
1606317765,-3.1837,156.3988
1606317765,-3.2090,156.4168
1606317765,-3.2090,156.4168
1606317765,-3.2090,156.4168
1606317765,-3.2090,156.4168
1606317766,-3.2344,156.4348
1606317766,-3.2344,156.4348
1606317766,-3.2344,156.4348
1606317766,-3.2597,156.4529
1606317766,-3.2597,156.4529
1606317766,-3.2597,156.4529
1606317766,-3.2597,156.4529
1606317767,-3.2851,156.4709
1606317767,-3.2851,156.4709
1606317767,-3.2851,156.4709
1606317767,-3.3104,156.4889
1606317767,-3.3104,156.4889
1606317767,-3.3104,156.4889
1606317768,-3.3358,156.5070
1606317768,-3.3358,156.5070
