time,latitude,longitude
1606321657,49.3123,24.4735
1606321657,49.3123,24.4735
1606321657,49.3123,24.4735
1606321657,49.3123,24.4735
1606321657,49.3222,24.5188
1606321657,49.3222,24.5188
1606321657,49.3222,24.5188
1606321658,49.3320,24.5640
1606321658,49.3320,24.5640
1606321658,49.3320,24.5640
1606321658,49.3419,24.6093
1606321658,49.3419,24.6093
1606321658,49.3419,24.6093
1606321658,49.3419,24.6093
1606321659,49.3517,24.6546
1606321659,49.3517,24.6546
1606321659,49.3517,24.6546
1606321659,49.3615,24.6999
1606321659,49.3615,24.6999
1606321659,49.3615,24.6999
1606321659,49.3615,24.6999
1606321660,49.3713,24.7453
1606321660,49.3713,24.7453
1606321660,49.3713,24.7453
1606321660,49.3811,24.7906
